lemon_juice_ml,sugar_g,fizziness,rating
53.05,24.84,3.76,7.23
57.45,23.4,5.45,8.5
32.3,17.83,1.15,5.03
36.09,14.94,3.74,6.33
35.42,6.76,7.12,7.56
38.14,36.0,1.23,6.02
69.98,22.58,5.44,8.34
58.9,14.72,9.08,9.51
68.75,28.22,7.86,10.0
54.66,44.63,1.93,7.71
40.31,15.46,3.21,6.63
39.49,32.6,7.15,8.86
44.43,46.3,3.14,8.15
40.84,22.15,4.73,7.83
61.42,47.69,3.55,8.95
43.25,5.57,4.98,6.35
34.78,10.35,2.24,5.3
58.74,28.99,8.56,10.0
62.72,27.44,8.48,10.0
41.02,49.21,3.46,8.77
53.39,11.43,1.15,5.85
22.94,49.58,5.64,8.29
46.47,43.34,6.5,9.53
22.25,15.02,0.89,4.46
21.46,21.54,2.41,4.95
50.65,10.39,8.85,9.2
35.17,45.89,8.69,10.0
57.13,22.35,1.9,6.22
64.8,6.74,0.24,5.09
26.97,30.99,0.27,5.6
56.23,16.6,9.84,10.0
45.73,22.3,7.25,8.73
25.61,26.13,1.46,5.95
52.58,8.43,0.03,5.32
50.47,27.02,6.51,9.43
45.78,17.99,8.87,9.71
66.32,37.05,0.72,7.72
46.05,16.52,7.85,8.52
69.53,47.49,3.31,9.18
45.46,38.41,2.92,6.89
25.79,10.38,0.6,4.09
43.52,11.29,3.36,4.97
29.12,21.17,9.81,9.74
49.86,6.23,9.66,9.18
54.66,7.2,4.57,7.27
43.42,37.34,7.41,9.57
24.89,19.73,9.54,8.94
43.43,14.16,7.72,8.71
24.07,21.57,5.83,7.21
54.11,49.22,4.49,9.11
59.52,45.61,3.37,8.51
68.12,16.46,2.06,6.99
27.44,8.44,9.51,8.82
46.62,19.77,4.31,6.65
48.38,5.4,9.84,9.02
66.12,14.98,7.79,9.82
51.36,33.1,8.27,10.0
27.28,9.04,9.06,8.36
41.82,12.74,8.96,9.41
52.74,24.42,9.22,10.0
55.01,37.18,7.46,9.92
63.15,28.73,8.67,10.0
29.03,37.99,7.53,9.96
67.58,9.16,1.72,5.83
22.96,12.26,7.7,6.91
69.19,45.07,9.1,10.0
62.89,48.19,0.08,7.48
53.01,41.93,1.39,6.77
56.75,37.41,7.37,10.0
23.63,7.32,1.63,4.75
22.07,49.94,0.62,6.35
25.09,14.49,0.88,4.21
24.37,23.52,6.43,7.27
47.37,33.29,5.97,9.06
30.77,29.41,8.43,9.3
63.01,49.59,3.1,8.93
42.29,31.68,7.46,9.75
54.78,14.98,2.04,5.98
52.64,30.36,4.72,8.52
35.99,19.64,5.78,7.52
32.16,34.95,1.34,5.61
37.12,6.77,8.12,8.01
59.83,17.44,9.9,10.0
49.31,29.68,9.03,10.0
32.68,39.96,7.17,9.35
60.89,42.5,1.31,8.01
22.74,46.15,9.16,9.96
54.96,22.02,0.4,4.74
41.96,31.43,4.41,7.91
56.56,31.36,2.12,6.98
66.37,45.47,9.61,10.0
57.5,43.08,5.05,9.48
42.1,24.1,2.77,6.47
27.55,31.78,1.0,5.72
60.32,46.21,3.89,8.57
43.04,49.99,6.52,10.0
23.77,38.23,7.5,9.32
55.95,8.08,9.03,9.58
34.59,45.13,9.61,10.0
22.44,26.5,1.61,5.21
65.14,20.78,2.04,7.07
44.16,18.06,8.86,9.22
34.05,41.17,6.12,8.81
55.82,45.42,3.57,9.2
64.3,35.86,2.77,7.96
20.02,7.68,1.95,4.29
54.39,49.41,6.75,10.0
58.35,30.1,2.38,7.49
30.5,42.24,7.42,9.66
44.48,37.45,3.96,7.78
24.46,20.09,9.62,8.81
57.34,46.3,4.66,9.21
62.37,18.72,9.42,10.0
25.41,49.09,3.1,7.58
60.82,49.28,2.24,7.91
58.58,6.94,8.6,8.66
37.35,10.82,2.37,5.04
54.51,15.55,1.8,5.86
20.0,21.62,3.71,5.8
66.59,34.4,3.2,8.65
47.52,21.43,5.41,8.01
51.02,47.18,3.73,7.72
53.23,26.43,6.44,8.49
48.07,30.08,8.84,9.76
62.84,33.18,3.38,7.55
50.49,24.14,1.16,5.44
65.39,33.56,1.58,8.28
49.12,9.03,0.1,4.92
28.56,27.59,1.04,5.45
65.68,19.86,7.8,9.61
54.08,14.09,8.83,8.88
54.96,6.7,6.18,7.65
69.27,40.14,6.84,10.0
23.76,10.46,5.49,5.83
41.43,12.69,9.03,8.4
31.95,12.57,4.65,5.79
51.52,49.12,3.25,7.85
60.34,16.4,0.74,5.79
68.32,13.38,6.83,8.53
42.73,48.62,8.65,10.0
59.31,33.22,5.04,8.97
65.85,35.71,9.5,10.0
54.17,41.67,4.17,8.85
32.14,29.58,3.96,6.93
50.39,29.43,0.67,6.69
68.5,49.92,4.62,9.93
69.38,36.05,3.13,8.95
52.12,37.02,4.09,8.59
64.35,8.97,0.71,5.93
30.02,10.14,4.78,6.78
32.3,27.85,8.99,8.96
67.64,37.79,3.0,8.23
26.76,38.92,7.02,8.73
29.56,40.26,5.21,8.07
41.03,37.08,0.08,6.48
49.48,10.28,1.71,5.33
50.19,42.53,0.59,6.73
34.6,39.5,0.56,6.21
66.03,21.81,0.84,6.26
65.75,23.39,1.17,6.57
39.6,29.91,1.6,6.23
41.71,49.68,5.01,9.15
55.12,38.49,7.0,9.68
53.15,42.7,2.39,7.96
39.11,14.25,4.11,6.45
40.71,27.76,8.62,9.48
37.4,30.32,5.28,7.76
31.77,6.99,9.48,8.7
42.91,10.02,0.04,3.92
54.32,14.65,1.45,5.7
57.1,44.75,6.4,9.98
58.94,39.88,3.89,9.46
38.74,26.88,1.5,6.25
58.23,40.29,3.72,9.14
20.33,28.46,2.18,5.38
43.85,46.49,0.92,6.53
59.7,17.84,0.69,5.9
51.5,10.35,0.2,5.26
43.7,7.21,8.43,8.93
52.23,24.72,7.66,8.83
65.35,18.74,9.26,10.0
48.32,48.53,5.64,9.61
59.99,44.71,9.85,10.0
69.04,24.35,2.57,8.16
55.28,5.75,1.89,4.47
48.67,9.23,0.59,4.86
21.87,14.69,2.02,4.91
38.72,22.65,1.62,6.49
48.27,41.08,3.3,8.35
59.86,43.38,3.28,8.18
41.91,49.96,4.62,9.26
68.0,28.9,4.28,9.05
33.59,47.66,8.62,10.0
57.23,34.39,7.16,10.0
40.95,26.51,6.2,8.18
44.3,11.08,9.0,9.39
60.13,46.25,6.21,9.54
34.81,45.22,4.99,8.64
24.84,44.57,6.72,9.55
46.01,48.37,7.75,10.0
46.44,41.86,7.92,9.99
59.86,5.25,9.81,9.31
68.42,37.18,3.25,8.75
22.77,23.71,6.97,8.57
49.58,47.49,2.87,7.83
54.06,40.29,5.24,9.81
69.29,41.14,4.73,9.75
67.13,9.9,6.92,8.59
55.62,25.89,3.11,7.62
46.09,25.51,0.84,5.55
28.08,27.26,3.31,6.83
39.21,40.83,6.88,10.0
49.26,14.92,1.94,5.77
56.26,13.07,4.0,6.67
51.77,43.61,7.88,10.0
55.71,42.57,9.07,10.0
41.46,34.98,6.15,8.49
56.38,7.81,9.42,8.84
27.19,37.4,1.79,6.72
28.13,9.86,9.75,8.8
28.14,22.86,7.33,8.96
64.54,42.77,1.43,7.77
23.8,6.38,8.29,7.97
60.08,33.54,3.55,8.12
31.68,29.86,4.88,7.72
43.42,21.96,8.72,9.37
65.8,14.59,3.17,7.63
49.3,12.46,5.24,7.56
30.51,42.8,9.04,10.0
34.2,9.98,7.32,8.07
66.02,48.43,7.13,10.0
41.36,13.82,0.37,4.01
49.35,37.46,1.12,7.09
43.0,30.08,7.47,9.61
38.92,21.85,9.1,9.55
31.16,46.14,8.98,10.0
54.31,6.54,1.91,5.36
55.91,39.52,5.48,9.37
33.74,38.28,3.3,7.37
59.45,42.6,5.04,10.0
62.73,45.13,3.89,9.25
66.03,25.58,8.84,10.0
28.06,35.38,5.82,8.0
35.2,30.89,0.64,5.37
63.02,31.63,8.73,10.0
29.93,6.12,3.36,5.0
20.17,48.33,4.93,7.95
63.54,12.29,0.26,5.16
36.32,23.65,2.11,5.9
40.72,36.52,0.95,6.07
42.32,14.59,8.53,8.32
62.41,10.23,7.68,8.66
36.89,45.31,3.46,7.31
64.61,31.12,3.46,8.08
50.85,11.06,2.65,5.62
46.36,44.29,0.01,6.86
36.28,13.49,3.34,5.86
32.19,34.59,6.24,8.27
51.2,43.5,5.66,9.98
42.34,32.89,9.04,10.0
65.53,5.31,2.01,5.44
44.58,34.23,2.57,7.1
45.59,30.55,0.28,5.55
40.84,28.76,8.52,10.0
59.46,18.78,4.48,7.8
41.24,33.19,4.6,7.74
33.47,5.74,4.99,6.31
63.1,28.32,9.87,10.0
49.84,19.77,1.28,5.7
49.58,7.15,8.25,8.87
50.54,16.81,0.9,5.51
55.94,42.65,9.92,10.0
35.65,16.63,5.27,7.05
21.69,26.24,2.58,5.27
60.53,30.44,2.35,7.09
26.45,17.92,8.23,8.15
56.09,29.45,4.77,7.94
24.12,48.0,1.13,6.54
38.77,13.29,4.3,6.8
23.15,45.15,5.94,8.88
46.11,30.25,5.19,8.82
52.66,40.07,9.52,10.0
28.57,31.96,5.54,7.83
38.58,18.74,4.06,6.79
66.51,30.86,8.26,10.0
42.12,24.17,8.02,8.69
60.13,31.72,4.69,9.03
66.36,30.44,2.2,7.56
68.72,35.51,1.4,7.21
64.92,37.63,0.39,7.81
35.87,29.65,2.0,6.01
68.13,41.48,3.17,8.3
60.62,35.86,3.4,8.8
61.86,16.44,7.31,9.35
20.76,47.24,6.78,8.94
67.71,8.2,3.94,6.52
58.9,33.49,1.12,6.92
58.4,32.55,2.4,7.9
24.08,25.0,6.84,8.1
31.63,26.48,5.86,7.84
68.11,39.99,6.71,10.0
45.03,37.5,3.64,7.81
39.89,23.64,0.91,5.39
62.0,14.64,3.19,6.37
24.37,7.78,0.88,3.4
40.85,37.59,2.03,6.7
38.79,36.33,2.1,7.18
37.49,17.81,8.53,8.1
35.38,47.88,5.24,8.85
30.5,34.29,7.29,9.38
28.65,34.96,1.57,5.64
52.02,30.35,3.95,7.39
65.97,34.08,7.84,10.0
45.44,49.96,3.95,8.52
34.9,41.07,5.99,9.3
27.96,24.01,0.92,3.97
61.51,13.77,8.26,9.03
68.57,38.9,7.59,10.0
37.46,44.56,3.88,8.57
34.55,28.52,9.8,10.0
50.07,46.56,4.38,9.13
58.77,30.12,6.09,8.97
42.77,14.75,5.12,6.67
51.5,24.17,2.8,7.69
55.83,23.97,4.48,7.52
68.03,12.84,5.02,7.92
28.25,35.95,3.78,8.25
69.87,42.9,2.96,8.37
39.61,14.4,7.39,8.2
56.16,39.56,1.58,7.34
48.62,11.56,7.16,8.31
44.33,19.95,8.98,8.97
54.9,38.28,8.78,10.0
39.79,23.0,3.95,7.01
26.31,5.36,2.2,4.24
44.44,41.65,8.6,10.0
46.1,15.09,4.49,7.18
30.1,43.49,3.36,7.39
66.78,16.44,9.0,10.0
31.37,16.47,1.15,5.15
40.46,44.77,1.84,7.68
27.75,20.73,4.5,6.8
46.79,35.0,4.42,8.12
35.38,21.07,1.37,5.76
44.46,29.36,2.89,7.07
31.23,39.69,3.68,7.69
22.69,46.33,7.27,9.54
58.96,34.33,9.9,10.0
52.05,22.13,9.55,10.0
37.04,22.73,6.69,7.66
22.37,12.02,3.02,4.29
63.28,30.45,5.54,9.16
28.49,42.9,4.16,7.74
66.54,10.86,0.12,5.01
43.93,16.75,3.31,6.11
37.02,5.87,3.73,6.0
57.09,28.67,1.76,6.93
63.84,7.62,0.31,5.59
38.54,31.06,4.5,6.96
40.37,17.79,0.06,4.81
41.66,41.12,8.89,10.0
66.12,29.07,1.12,6.82
54.63,26.67,7.2,9.38
32.38,15.42,5.27,7.32
29.25,46.65,8.73,9.62
31.52,47.85,2.77,8.19
33.18,38.94,8.26,10.0
31.51,18.78,9.4,8.92
52.93,40.48,3.35,8.41
25.8,37.59,0.32,4.98
39.37,14.52,8.47,8.71
51.25,8.67,2.26,6.07
34.54,13.69,4.93,6.35
23.26,44.01,5.67,7.78
24.09,12.04,7.43,7.57
26.3,40.64,4.27,8.5
61.79,19.33,7.02,9.27
52.89,37.56,5.98,9.32
23.23,45.48,3.04,7.35
39.55,40.47,4.19,8.08
33.93,29.18,6.33,8.7
48.9,5.22,7.69,7.87
46.14,11.2,2.25,5.22
44.06,40.25,0.64,6.62
35.73,9.37,7.27,7.9
26.89,48.79,1.98,7.1
57.12,48.66,8.85,10.0
63.99,18.23,3.76,8.15
67.21,6.54,7.68,9.28
22.93,38.61,2.69,7.09
57.0,13.6,6.12,8.01
56.33,38.0,2.13,7.86
67.36,20.07,4.32,7.74
32.65,21.78,7.21,7.62
57.11,32.04,8.06,10.0
22.73,12.38,6.2,6.79
51.56,48.63,5.88,10.0
37.54,6.95,2.04,4.72
58.45,47.65,0.1,7.13
63.17,18.44,2.1,6.27
38.24,34.99,1.89,6.51
46.28,49.91,7.77,10.0
25.87,15.66,0.28,4.68
40.85,26.38,4.99,7.94
38.04,6.06,3.37,6.17
29.16,14.66,2.37,5.28
64.72,11.24,7.45,8.82
27.4,38.94,2.57,6.28
51.79,36.15,2.6,7.97
64.51,27.0,8.24,9.04
65.6,5.08,4.6,7.7
59.66,14.26,6.84,9.26
28.81,35.44,9.96,10.0
60.87,5.6,7.08,8.57
33.83,31.22,6.12,8.11
66.12,12.24,3.61,7.23
55.45,31.19,2.43,7.75
59.26,40.59,1.45,7.19
24.25,44.34,6.78,9.26
49.14,24.46,9.63,9.85
61.06,32.15,5.44,8.5
63.08,28.99,4.21,7.43
21.43,29.3,9.55,9.42
66.96,22.38,2.8,7.07
22.17,40.51,3.07,6.75
50.73,20.22,7.36,8.67
54.67,31.65,3.83,7.15
25.37,25.5,6.15,7.35
22.4,20.44,6.14,6.97
59.25,21.44,3.58,7.27
39.23,24.5,4.79,7.07
25.36,23.35,9.97,9.18
58.13,36.89,9.2,10.0
62.46,30.41,0.76,5.91
49.37,27.98,3.28,6.98
28.06,12.71,8.12,7.88
20.76,26.21,0.65,4.75
55.04,26.77,6.86,8.27
47.51,36.84,6.43,9.77
52.54,24.68,4.48,7.88
60.66,28.38,2.35,7.29
41.71,23.04,0.34,5.87
26.23,49.03,0.37,6.03
67.0,43.51,9.59,10.0
47.26,6.94,9.04,8.35
50.76,43.59,4.11,8.5
66.67,21.4,7.3,9.12
66.58,19.97,8.96,10.0
48.6,9.29,5.56,6.82
34.88,45.78,0.49,6.38
69.86,44.48,8.18,10.0
54.04,47.07,7.28,10.0
40.42,39.7,8.25,10.0
47.99,9.76,8.83,9.94
40.79,6.2,3.0,5.85
64.42,45.96,8.47,10.0
44.12,29.72,9.53,10.0
61.18,15.7,8.65,9.89
62.01,8.91,9.85,10.0
61.22,11.55,6.35,8.5
56.11,12.08,4.07,7.19
62.74,33.8,3.18,8.22
39.36,16.56,9.11,8.98
25.73,18.76,1.87,5.17
62.12,31.94,4.77,8.89
44.91,40.56,2.37,6.79
26.37,23.04,9.02,9.4
25.77,6.74,5.67,5.81
27.96,34.36,8.3,8.59
57.55,35.81,2.76,8.17
55.54,20.14,9.68,9.77
30.19,5.05,8.35,7.5
62.35,30.73,4.62,8.18
34.06,39.87,9.74,10.0
59.65,14.87,6.39,8.57
44.44,28.07,2.12,6.11
56.58,36.39,0.87,7.42
39.07,31.51,0.86,6.04
37.36,39.71,2.85,6.98
62.07,23.37,6.71,9.25
21.77,44.16,0.54,5.38
68.74,19.33,4.75,8.14
52.41,11.94,6.33,7.42
41.62,40.29,3.34,7.52
51.4,5.46,0.59,4.14
26.14,47.79,0.6,6.0
45.7,8.32,8.01,7.2
69.25,40.45,2.56,8.36
31.76,10.45,8.41,7.28
56.11,17.63,3.25,7.37
41.75,32.04,9.35,10.0
52.62,11.31,9.95,9.68
30.24,9.38,7.98,7.65
43.52,46.92,5.99,9.27
69.0,37.41,0.35,6.97
29.76,10.39,5.71,7.29
51.82,28.36,0.51,6.11
48.78,42.57,8.86,10.0
48.25,8.92,2.31,5.21
50.76,41.48,6.42,9.4
45.11,42.93,4.74,8.53
20.85,20.37,5.48,6.02
65.0,49.8,3.92,9.83
61.35,22.68,2.57,7.74
28.71,45.6,0.45,6.45
40.66,45.41,5.24,9.24
58.53,37.11,0.48,6.89
69.0,5.04,9.21,10.0
67.56,35.72,8.26,10.0
64.97,9.25,9.5,9.5
27.92,6.63,6.26,6.56
65.72,13.12,8.86,9.97
63.92,28.01,0.91,7.56
38.85,25.72,3.45,6.72
39.73,22.53,8.4,8.7
43.0,29.07,1.26,6.63
52.81,16.91,3.44,7.06
33.04,19.09,3.79,6.73
21.15,14.4,6.82,6.95
27.06,25.35,2.32,5.1
42.01,37.14,7.15,8.28
34.1,28.02,1.54,6.34
58.23,43.31,5.41,9.93
25.33,27.11,6.2,7.55
65.87,14.09,4.3,7.13
64.77,28.05,2.32,8.09
65.44,21.73,9.36,10.0
56.98,27.13,2.84,8.06
25.35,9.42,8.72,8.05
41.91,39.95,6.94,9.36
26.57,20.61,6.49,7.44
69.38,5.76,9.64,10.0
36.65,30.48,1.83,6.66
49.27,35.77,4.5,8.1
58.97,8.27,8.63,8.94
66.03,21.87,7.8,10.0
57.78,26.58,1.75,6.45
53.73,27.62,2.36,6.8
43.3,6.61,2.56,5.82
50.27,33.48,3.74,8.11
24.71,9.23,6.03,6.81
64.2,20.77,4.68,8.78
47.19,27.83,7.22,8.78
22.01,38.78,5.9,8.56
66.0,21.44,8.2,9.84
44.47,41.95,8.72,10.0
63.43,39.79,7.43,10.0
62.84,23.24,7.97,9.79
60.79,44.45,1.21,7.45
23.07,48.3,7.48,9.22
32.35,17.18,3.39,6.75
63.78,41.97,6.45,10.0
64.95,17.86,3.62,7.27
42.9,35.87,0.45,5.99
42.0,35.05,0.01,6.11
28.76,40.58,6.76,8.58
68.42,14.79,4.5,7.74
30.66,47.04,3.92,8.24
29.55,24.32,8.72,9.54
53.04,5.1,1.9,5.2
32.14,39.79,3.36,6.95
66.94,46.92,7.13,10.0
20.55,48.58,5.67,8.92
20.29,21.32,2.55,5.67
45.24,5.92,3.55,5.97
44.4,20.39,6.68,8.7
28.17,44.76,8.16,9.46
44.73,42.97,3.58,7.96
40.58,22.07,9.05,8.61
64.52,11.89,3.95,7.11
20.46,34.01,5.78,7.8
68.81,34.88,7.6,9.68
51.22,33.38,8.55,9.66
27.59,11.78,2.75,4.72
22.34,42.1,5.19,6.82
46.91,6.64,7.57,7.82
31.74,48.64,6.21,9.02
35.06,45.57,8.55,10.0
32.26,49.74,1.86,7.48
52.51,31.97,8.8,10.0
47.68,32.16,5.78,8.72
23.9,22.3,9.78,9.24
46.33,10.08,0.58,4.58
59.56,38.97,6.43,9.59
24.06,27.12,0.3,4.8
64.49,21.39,3.28,7.43
48.92,44.4,0.19,7.07
67.53,5.09,0.02,5.11
27.41,26.53,6.1,7.76
69.68,34.35,3.49,8.14
52.21,5.18,3.81,6.13
48.37,37.74,3.08,7.52
45.76,12.47,9.79,9.2
21.18,43.05,1.72,6.54
66.98,39.4,3.11,8.7
52.2,11.29,2.17,5.63
24.58,30.83,5.88,7.74
21.05,39.08,6.78,8.22
22.54,6.32,7.61,7.31
50.47,29.52,4.6,8.62
50.7,7.28,7.03,7.71
44.98,32.88,7.99,9.77
35.34,44.7,6.33,8.9
46.59,22.77,5.49,7.77
45.82,24.62,8.67,9.88
20.97,48.98,6.32,9.55
34.12,25.52,5.3,7.21
22.66,17.85,5.82,7.17
65.01,49.84,3.61,8.96
56.26,35.63,5.55,9.29
69.81,31.17,4.19,8.45
35.11,34.68,9.13,9.4
63.92,40.58,9.33,10.0
50.15,6.68,4.74,6.24
42.66,13.99,7.07,8.41
31.13,6.65,6.44,6.74
56.92,18.53,7.17,9.25
65.21,39.15,5.61,9.72
31.77,23.16,6.79,8.35
28.77,36.34,5.79,7.97
54.81,18.76,7.14,8.8
68.85,49.21,9.16,10.0
57.5,9.1,5.56,7.71
34.23,30.88,7.83,8.94
41.0,32.05,3.58,6.82
39.22,37.85,1.55,6.41
62.6,5.51,8.9,9.39
58.57,16.78,7.09,9.03
49.45,24.96,1.85,6.41
33.75,28.7,3.55,7.32
66.9,7.99,3.7,7.1
52.67,41.72,1.62,7.3
68.52,11.05,0.83,6.22
49.01,30.89,3.0,7.07
61.06,19.76,5.92,9.04
60.66,27.47,4.74,8.77
36.87,7.08,5.02,6.68
68.2,43.07,3.0,8.63
21.1,17.57,7.44,7.5
58.44,18.04,8.02,9.16
68.28,24.37,8.5,10.0
36.95,17.08,5.88,7.91
52.41,31.17,9.05,10.0
48.11,43.88,1.38,7.83
58.08,24.88,6.17,9.09
63.31,10.08,5.62,7.81
50.15,44.45,4.44,9.05
60.8,28.51,5.49,8.78
35.61,48.19,0.66,6.76
31.43,44.2,7.12,9.66
41.53,44.04,4.62,8.44
53.89,10.48,8.26,9.0
29.36,28.61,7.57,8.5
54.02,43.12,7.58,10.0
39.7,40.47,2.94,7.41
59.78,28.54,6.49,9.41
21.84,49.72,8.01,9.96
53.4,46.34,5.63,8.91
52.49,24.1,1.4,6.51
67.05,15.63,7.46,9.41
55.67,22.07,8.37,9.82
59.82,17.72,1.17,6.39
65.23,34.21,4.63,8.64
53.75,36.81,1.71,7.44
34.51,11.23,5.69,6.8
63.49,17.95,9.53,10.0
57.38,47.03,0.2,6.59
41.22,33.66,1.95,6.65
55.53,36.38,3.64,8.95
63.38,7.13,1.03,5.73
68.78,23.64,2.25,7.49
67.62,47.73,7.08,10.0
36.27,40.48,0.12,5.66
41.08,40.18,2.16,6.69
25.48,45.37,4.31,8.04
32.38,14.22,4.23,5.95
64.12,49.37,7.59,10.0
38.04,24.93,0.34,5.8
51.03,42.95,1.26,6.98
53.3,18.71,2.01,6.15
59.09,34.27,4.1,8.24
29.14,7.82,6.25,6.4
35.24,48.13,1.61,6.87
42.42,10.27,5.63,6.73
38.24,36.05,7.45,9.7
69.15,5.28,9.31,10.0
61.75,28.12,5.21,8.35
43.98,19.52,2.12,5.57
63.96,15.46,1.06,5.95
37.38,37.13,3.88,7.93
59.29,24.95,9.14,10.0
31.18,19.29,4.37,6.42
58.62,25.19,7.2,10.0
42.82,19.18,9.89,9.62
25.37,24.0,8.71,8.67
33.66,12.41,8.93,8.35
40.11,46.61,9.57,10.0
57.46,23.93,7.28,9.42
23.65,25.97,9.99,9.81
52.98,37.66,1.99,7.94
55.8,10.59,3.79,7.21
52.7,13.79,6.94,8.78
58.03,11.76,5.1,8.25
28.91,26.57,5.67,7.86
49.36,31.42,7.25,10.0
67.06,37.16,2.18,8.21
50.54,47.46,5.34,9.82
50.57,8.88,2.04,5.58
56.82,35.28,7.74,10.0
36.66,38.97,7.74,9.59
55.02,34.9,7.14,10.0
65.81,43.48,4.97,9.8
20.54,28.41,5.38,6.71
63.51,41.81,7.92,10.0
30.93,8.13,7.82,7.88
42.8,33.65,9.95,10.0
62.62,47.34,6.68,10.0
61.2,25.47,9.13,10.0
64.6,10.48,3.44,6.46
67.02,21.37,9.26,10.0
42.36,43.27,9.06,10.0
52.82,10.72,9.32,8.95
39.52,28.73,6.36,8.72
37.54,43.58,2.73,7.68
41.58,40.38,3.74,7.67
57.15,28.06,1.96,6.71
45.07,33.09,9.12,10.0
60.7,17.59,2.58,7.27
57.26,46.99,0.81,6.79
21.02,6.4,1.13,3.7
51.51,21.45,4.01,7.44
41.83,22.8,8.64,8.65
42.83,39.9,8.57,10.0
60.92,26.28,4.78,8.94
47.38,43.6,9.24,10.0
64.28,17.79,4.55,7.47
55.64,12.99,7.15,8.5
47.64,16.12,6.86,8.17
57.73,12.79,6.43,8.23
21.92,20.35,2.42,4.96
21.35,15.94,9.52,8.72
24.17,32.75,7.71,9.44
41.88,5.6,1.62,5.55
31.77,27.71,2.31,5.63
69.21,22.68,5.91,10.0
47.11,19.95,9.65,9.37
53.12,8.39,0.29,4.9
33.94,37.74,6.47,8.44
36.09,21.3,8.8,9.47
36.77,47.3,2.86,7.46
54.94,47.76,1.31,8.15
43.69,30.82,9.2,9.7
45.88,20.82,7.77,9.09
49.6,22.98,9.5,10.0
58.44,17.94,5.04,7.69
24.52,35.77,1.68,5.49
58.84,29.05,4.7,8.25
48.16,24.0,2.03,6.55
53.45,28.55,8.74,10.0
36.38,10.47,9.66,9.16
40.47,34.83,6.57,8.84
31.56,28.17,0.02,4.61
68.96,32.67,7.6,10.0
44.85,17.49,3.86,6.3
69.8,38.44,6.22,9.88
44.49,26.54,0.28,5.74
30.99,9.44,7.52,7.78
45.37,35.12,6.63,9.1
21.98,10.08,7.09,7.2
65.24,7.67,7.48,8.47
60.93,38.5,3.25,8.52
56.29,26.21,6.69,8.66
50.49,6.14,1.64,5.15
48.99,28.08,4.47,7.34
69.84,45.29,0.77,7.8
33.9,9.27,6.45,7.06
58.98,20.61,9.25,9.77
49.07,42.36,8.18,10.0
68.79,16.44,1.26,6.43
61.39,9.88,4.65,7.67
69.93,24.96,0.38,6.49
49.42,43.91,0.16,7.63
30.23,19.62,0.94,4.8
45.18,42.64,8.6,10.0
55.56,10.11,7.15,8.75
58.72,23.32,9.14,9.49
20.03,26.98,9.09,9.07
45.25,22.78,5.38,7.66
31.76,44.93,3.81,7.6
63.75,19.07,4.71,9.01
27.65,43.89,2.17,6.81
53.32,42.51,9.71,10.0
33.3,40.07,8.86,10.0
37.83,16.48,3.34,6.66
67.03,21.4,4.85,8.5
32.02,30.31,4.36,6.72
24.75,11.7,6.78,7.23
23.46,24.61,5.88,7.66
45.23,5.32,4.75,6.42
52.09,14.84,4.88,7.1
36.36,44.18,2.71,7.45
54.51,5.47,3.92,6.87
23.05,21.77,9.74,9.56
62.87,46.8,8.4,10.0
60.83,40.55,9.81,10.0
69.27,11.7,3.91,7.3
66.83,18.81,2.72,7.3
37.81,37.81,8.71,10.0
39.96,29.77,6.29,9.04
57.3,40.85,4.84,9.17
26.7,12.48,7.73,8.06
35.7,21.58,7.43,8.32
25.93,39.05,7.05,9.11
42.74,23.57,0.29,5.88
47.6,34.91,0.62,6.7
30.56,13.81,4.72,6.08
21.33,34.34,8.52,8.93
55.97,12.78,7.38,8.27
21.0,39.29,9.74,10.0
68.67,29.4,8.6,10.0
31.08,24.37,7.96,8.98
53.2,8.17,8.25,8.9
41.74,34.93,6.16,8.56
22.98,13.56,9.65,8.55
43.61,10.49,3.9,6.46
45.84,12.03,1.77,5.38
62.73,13.32,5.77,8.86
56.62,35.81,9.26,10.0
23.97,26.92,4.52,6.65
30.46,26.03,2.14,5.65
35.59,25.83,5.66,7.61
25.82,23.53,7.98,8.41
42.84,28.19,7.96,9.33
69.22,12.22,7.91,9.27
45.73,17.76,5.74,7.65
57.09,9.51,3.29,6.82
54.15,42.65,8.14,10.0
62.5,50.0,7.54,10.0
30.79,36.67,6.45,8.92
57.69,7.15,8.72,8.72
64.07,26.24,4.63,8.43
28.58,5.3,1.52,3.88
37.34,17.42,5.86,7.86
68.51,8.62,4.04,7.0
59.04,23.91,2.34,7.31
34.13,24.42,5.98,7.95
48.2,12.94,4.58,7.34
40.22,42.33,1.69,7.29
44.5,39.52,6.69,9.78
37.76,42.22,1.78,6.67
33.97,29.58,9.59,9.87
53.74,5.37,2.34,5.8
58.93,46.57,6.6,10.0
63.7,46.36,6.76,10.0
27.77,29.47,3.55,6.72
61.14,45.67,5.77,9.63
32.74,17.0,2.57,5.67
41.37,28.27,4.65,6.99
65.07,36.02,0.67,7.2
42.73,27.63,2.62,6.19
29.85,43.22,3.56,7.32
27.99,29.39,0.52,5.0
43.65,12.53,2.01,5.41
58.13,42.31,5.86,10.0
69.86,36.82,3.78,8.39
59.37,28.07,5.41,7.91
63.85,27.4,5.71,8.88
57.39,36.09,3.7,8.38
64.77,34.88,8.1,10.0
23.81,16.76,2.44,4.71
66.5,38.74,5.83,10.0
39.82,43.47,0.8,6.33
66.08,15.63,2.2,6.21
